"","category","term","ontology"
"11434","GO:0070402","NADPH binding","MF"
"11435","GO:0070403","NAD+ binding","MF"
"11436","GO:0070404","NADH binding","MF"
"11437","GO:0070407","oxidation-dependent protein catabolic process","BP"
"11438","GO:0070409","carbamoyl phosphate biosynthetic process","BP"
"11439","GO:0070410","co-SMAD binding","MF"
"11440","GO:0070411","I-SMAD binding","MF"
"11441","GO:0070412","R-SMAD binding","MF"
"11442","GO:0070413","trehalose metabolism in response to stress","BP"
"11443","GO:0070417","cellular response to cold","BP"
"11444","GO:0070419","nonhomologous end joining complex","CC"
"11445","GO:0070424","regulation of nucleotide-binding oligomerization domain containing signaling pathway","BP"
"11446","GO:0070430","positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway","BP"
"11447","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","BP"
"11448","GO:0070433","negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway","BP"
"11449","GO:0070434","positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway","BP"
"11450","GO:0070436","Grb2-EGFR complex","CC"
"11451","GO:0070446","negative regulation of oligodendrocyte progenitor proliferation","BP"
"11452","GO:0070447","positive regulation of oligodendrocyte progenitor proliferation","BP"
"11453","GO:0070449","elongin complex","CC"
"11454","GO:0070451","cell hair","CC"
"11455","GO:0070458","cellular detoxification of nitrogen compound","BP"
"11456","GO:0070459","prolactin secretion","BP"
"11457","GO:0070460","thyroid-stimulating hormone secretion","BP"
"11458","GO:0070461","SAGA-type complex","CC"
"11459","GO:0070462","plus-end specific microtubule depolymerization","BP"
"11460","GO:0070463","tubulin-dependent ATPase activity","MF"
"11462","GO:0070470","plasma membrane respirasome","CC"
"11463","GO:0070472","regulation of uterine smooth muscle contraction","BP"
"11464","GO:0070474","positive regulation of uterine smooth muscle contraction","BP"
"11465","GO:0070475","rRNA base methylation","BP"
"11466","GO:0070476","rRNA (guanine-N7)-methylation","BP"
"11467","GO:0070478","nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay","BP"
"11468","GO:0070481","nuclear-transcribed mRNA catabolic process, non-stop decay","BP"
"11469","GO:0070482","response to oxygen levels","BP"
"11470","GO:0070485","dehydro-D-arabinono-1,4-lactone biosynthetic process","BP"
"11471","GO:0070487","monocyte aggregation","BP"
"11472","GO:0070489","T cell aggregation","BP"
"11473","GO:0070490","protein pupylation","BP"
"11474","GO:0070491","repressing transcription factor binding","MF"
"11475","GO:0070492","oligosaccharide binding","MF"
"11476","GO:0070493","thrombin-activated receptor signaling pathway","BP"
"11477","GO:0070497","6-carboxy-5,6,7,8-tetrahydropterin synthase activity","MF"
"11478","GO:0070498","interleukin-1-mediated signaling pathway","BP"
"11479","GO:0070505","pollen coat","CC"
"11480","GO:0070507","regulation of microtubule cytoskeleton organization","BP"
"11481","GO:0070509","calcium ion import","BP"
"11482","GO:0070513","death domain binding","MF"
"11483","GO:0070516","CAK-ERCC2 complex","CC"
"11484","GO:0070522","ERCC4-ERCC1 complex","CC"
"11485","GO:0070527","platelet aggregation","BP"
"11486","GO:0070528","protein kinase C signaling","BP"
"11487","GO:0070530","K63-linked polyubiquitin modification-dependent protein binding","MF"
"11488","GO:0070531","BRCA1-A complex","CC"
"11489","GO:0070534","protein K63-linked ubiquitination","BP"
"11490","GO:0070535","histone H2A K63-linked ubiquitination","BP"
"11491","GO:0070536","protein K63-linked deubiquitination","BP"
"11492","GO:0070542","response to fatty acid","BP"
"11493","GO:0070544","histone H3-K36 demethylation","BP"
"11494","GO:0070545","PeBoW complex","CC"
"11495","GO:0070551","endoribonuclease activity, cleaving siRNA-paired mRNA","MF"
"11496","GO:0070552","BRISC complex","CC"
"11497","GO:0070555","response to interleukin-1","BP"
"11498","GO:0070557","PCNA-p21 complex","CC"
"11499","GO:0070562","regulation of vitamin D receptor signaling pathway","BP"
"11500","GO:0070563","negative regulation of vitamin D receptor signaling pathway","BP"
"11501","GO:0070564","positive regulation of vitamin D receptor signaling pathway","BP"
"11502","GO:0070566","adenylyltransferase activity","MF"
"11503","GO:0070568","guanylyltransferase activity","MF"
"11504","GO:0070569","uridylyltransferase activity","MF"
"11505","GO:0070571","negative regulation of neuron projection regeneration","BP"
"11506","GO:0070573","metallodipeptidase activity","MF"
"11507","GO:0070576","vitamin D 24-hydroxylase activity","MF"
"11508","GO:0070577","lysine-acetylated histone binding","MF"
"11509","GO:0070578","RISC-loading complex","CC"
"11510","GO:0070579","methylcytosine dioxygenase activity","MF"
"11511","GO:0070583","spore membrane bending pathway","BP"
"11512","GO:0070584","mitochondrion morphogenesis","BP"
"11513","GO:0070585","protein localization to mitochondrion","BP"
"11514","GO:0070588","calcium ion transmembrane transport","BP"
"11515","GO:0070592","cell wall polysaccharide biosynthetic process","BP"
"11516","GO:0070593","dendrite self-avoidance","BP"
"11517","GO:0070600","fungal-type cell wall (1->3)-alpha-glucan biosynthetic process","BP"
"11518","GO:0070611","histone methyltransferase activity (H3-R2 specific)","MF"
"11519","GO:0070612","histone methyltransferase activity (H2A-R3 specific)","MF"
"11520","GO:0070613","regulation of protein processing","BP"
"11521","GO:0070615","nucleosome-dependent ATPase activity","MF"
"11522","GO:0070626","(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity","MF"
"11523","GO:0070628","proteasome binding","MF"
"11524","GO:0070630","(1->4)-alpha-glucan biosynthetic process","BP"
"11525","GO:0070633","transepithelial transport","BP"
"11526","GO:0070634","transepithelial ammonium transport","BP"
"11527","GO:0070635","nicotinamide riboside hydrolase activity","MF"
"11528","GO:0070636","nicotinic acid riboside hydrolase activity","MF"
"11529","GO:0070643","vitamin D 25-hydroxylase activity","MF"
"11530","GO:0070646","protein modification by small protein removal","BP"
"11531","GO:0070647","protein modification by small protein conjugation or removal","BP"
"11532","GO:0070649","formin-nucleated actin cable assembly","BP"
"11533","GO:0070650","actin filament bundle distribution","BP"
"11534","GO:0070651","nonfunctional rRNA decay","BP"
"11535","GO:0070652","HAUS complex","CC"
"11536","GO:0070672","response to interleukin-15","BP"
"11537","GO:0070676","intralumenal vesicle formation","BP"
"11538","GO:0070678","preprotein binding","MF"
"11539","GO:0070679","inositol 1,4,5 trisphosphate binding","MF"
"11540","GO:0070682","proteasome regulatory particle assembly","BP"
"11541","GO:0070685","macropinocytic cup","CC"
"11542","GO:0070686","macropinocytic cup membrane","CC"
"11543","GO:0070687","macropinocytic cup cytoskeleton","CC"
"11544","GO:0070692","CTDK-1 complex","CC"
"11545","GO:0070694","deoxyribonucleoside 5'-monophosphate N-glycosidase activity","MF"
"11546","GO:0070715","sodium-dependent organic cation transport","BP"
"11547","GO:0070716","mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication","BP"
"11548","GO:0070723","response to cholesterol","BP"
"11549","GO:0070725","Yb body","CC"
"11550","GO:0070728","leucine binding","MF"
"11551","GO:0070730","cAMP transport","BP"
"11552","GO:0070731","cGMP transport","BP"
"11553","GO:0070733","protein adenylyltransferase activity","MF"
"11554","GO:0070734","histone H3-K27 methylation","BP"
"11555","GO:0070735","protein-glycine ligase activity","MF"
"11556","GO:0070736","protein-glycine ligase activity, initiating","MF"
"11557","GO:0070737","protein-glycine ligase activity, elongating","MF"
"11558","GO:0070738","tubulin-glycine ligase activity","MF"
"11559","GO:0070739","protein-glutamic acid ligase activity","MF"
"11560","GO:0070740","tubulin-glutamic acid ligase activity","MF"
"11561","GO:0070742","C2H2 zinc finger domain binding","MF"
"11562","GO:0070761","pre-snoRNP complex","CC"
"11563","GO:0070765","gamma-secretase complex","CC"
"11564","GO:0070772","PAS complex","CC"
"11565","GO:0070773","protein-N-terminal glutamine amidohydrolase activity","MF"
"11566","GO:0070774","phytoceramidase activity","MF"
"11567","GO:0070775","H3 histone acetyltransferase complex","CC"
"11568","GO:0070776","MOZ/MORF histone acetyltransferase complex","CC"
"11569","GO:0070778","L-aspartate transmembrane transport","BP"
"11570","GO:0070779","D-aspartate import across plasma membrane","BP"
"11571","GO:0070780","dihydrosphingosine-1-phosphate phosphatase activity","MF"
"11572","GO:0070781","response to biotin","BP"
"11573","GO:0070782","phosphatidylserine exposure on apoptotic cell surface","BP"
"11574","GO:0070813","hydrogen sulfide metabolic process","BP"
"11575","GO:0070814","hydrogen sulfide biosynthetic process","BP"
"11576","GO:0070815","peptidyl-lysine 5-dioxygenase activity","MF"
"11577","GO:0070816","phosphorylation of RNA polymerase II C-terminal domain","BP"
"11578","GO:0070821","tertiary granule membrane","CC"
"11579","GO:0070824","SHREC complex","CC"
"11580","GO:0070827","chromatin maintenance","BP"
"11581","GO:0070828","heterochromatin organization","BP"
"11582","GO:0070829","heterochromatin maintenance","BP"
"11583","GO:0070830","bicellular tight junction assembly","BP"
"11584","GO:0070831","basement membrane assembly","BP"
"11585","GO:0070837","dehydroascorbic acid transport","BP"
"11586","GO:0070840","dynein complex binding","MF"
"11587","GO:0070842","aggresome assembly","BP"
"11588","GO:0070843","misfolded protein transport","BP"
"11589","GO:0070845","polyubiquitinated misfolded protein transport","BP"
"11590","GO:0070846","Hsp90 deacetylation","BP"
"11591","GO:0070847","core mediator complex","CC"
"11592","GO:0070848","response to growth factor","BP"
"11593","GO:0070849","response to epidermal growth factor","BP"
"11594","GO:0070851","growth factor receptor binding","MF"
"11595","GO:0070852","cell body fiber","CC"
"11596","GO:0070854","myosin VI heavy chain binding","MF"
"11597","GO:0070856","myosin VI light chain binding","MF"
"11598","GO:0070857","regulation of bile acid biosynthetic process","BP"
"11599","GO:0070860","RNA polymerase I core factor complex","CC"
"11600","GO:0070863","positive regulation of protein exit from endoplasmic reticulum","BP"
"11601","GO:0070864","sperm individualization complex","CC"
"11602","GO:0070865","investment cone","CC"
"11603","GO:0070868","heterochromatin organization involved in chromatin silencing","BP"
"11604","GO:0070873","regulation of glycogen metabolic process","BP"
"11605","GO:0070876","SOSS complex","CC"
"11606","GO:0070878","primary miRNA binding","MF"
"11607","GO:0070879","fungal-type cell wall beta-glucan metabolic process","BP"
"11608","GO:0070881","regulation of proline transport","BP"
"11609","GO:0070883","pre-miRNA binding","MF"
"11610","GO:0070884","regulation of calcineurin-NFAT signaling cascade","BP"
"11611","GO:0070885","negative regulation of calcineurin-NFAT signaling cascade","BP"
"11612","GO:0070886","positive regulation of calcineurin-NFAT signaling cascade","BP"
"11613","GO:0070888","E-box binding","MF"
"11614","GO:0070889","platelet alpha granule organization","BP"
"11615","GO:0070898","RNA polymerase III preinitiation complex assembly","BP"
"11616","GO:0070900","mitochondrial tRNA modification","BP"
"11617","GO:0070901","mitochondrial tRNA methylation","BP"
"11618","GO:0070904","transepithelial L-ascorbic acid transport","BP"
"11619","GO:0070905","serine binding","MF"
"11620","GO:0070911","global genome nucleotide-excision repair","BP"
"11621","GO:0070914","UV-damage excision repair","BP"
"11622","GO:0070919","production of siRNA involved in chromatin silencing by small RNA","BP"
"11623","GO:0070922","small RNA loading onto RISC","BP"
"11624","GO:0070925","organelle assembly","BP"
"11625","GO:0070932","histone H3 deacetylation","BP"
"11626","GO:0070933","histone H4 deacetylation","BP"
"11627","GO:0070934","CRD-mediated mRNA stabilization","BP"
"11628","GO:0070935","3'-UTR-mediated mRNA stabilization","BP"
"11629","GO:0070936","protein K48-linked ubiquitination","BP"
"11630","GO:0070937","CRD-mediated mRNA stability complex","CC"
"11631","GO:0070938","contractile ring","CC"
"11632","GO:0070939","Dsl1/NZR complex","CC"
"11633","GO:0070940","dephosphorylation of RNA polymerase II C-terminal domain","BP"
"11634","GO:0070965","positive regulation of neutrophil mediated killing of fungus","BP"
"11635","GO:0070966","nuclear-transcribed mRNA catabolic process, no-go decay","BP"
"11636","GO:0070967","coenzyme F420 binding","MF"
"11637","GO:0070971","endoplasmic reticulum exit site","CC"
"11638","GO:0070972","protein localization to endoplasmic reticulum","BP"
"11639","GO:0070973","protein localization to endoplasmic reticulum exit site","BP"
"11640","GO:0070975","FHA domain binding","MF"
"11641","GO:0070976","TIR domain binding","MF"
"11642","GO:0070977","bone maturation","BP"
"11643","GO:0070979","protein K11-linked ubiquitination","BP"
"11644","GO:0070981","L-asparagine biosynthetic process","BP"
"11645","GO:0070983","dendrite guidance","BP"
"11646","GO:0070985","transcription factor TFIIK complex","CC"
"11647","GO:0070986","left/right axis specification","BP"
"11648","GO:0070987","error-free translesion synthesis","BP"
"11649","GO:0070988","demethylation","BP"
"11650","GO:0070989","oxidative demethylation","BP"
"11651","GO:0070990","snRNP binding","MF"
"11652","GO:0070991","medium-chain-acyl-CoA dehydrogenase activity","MF"
"11653","GO:0070995","NADPH oxidation","BP"
"11654","GO:0070997","neuron death","BP"
"11655","GO:0071000","response to magnetism","BP"
"11656","GO:0071001","U4/U6 snRNP","CC"
"11657","GO:0071004","U2-type prespliceosome","CC"
"11658","GO:0071005","U2-type precatalytic spliceosome","CC"
"11659","GO:0071006","U2-type catalytic step 1 spliceosome","CC"
"11660","GO:0071007","U2-type catalytic step 2 spliceosome","CC"
"11661","GO:0071008","U2-type post-mRNA release spliceosomal complex","CC"
"11662","GO:0071011","precatalytic spliceosome","CC"
"11663","GO:0071013","catalytic step 2 spliceosome","CC"
"11664","GO:0071014","post-mRNA release spliceosomal complex","CC"
"11665","GO:0071020","post-spliceosomal complex","CC"
"11666","GO:0071025","RNA surveillance","BP"
"11667","GO:0071027","nuclear RNA surveillance","BP"
"11668","GO:0071028","nuclear mRNA surveillance","BP"
"11669","GO:0071030","nuclear mRNA surveillance of spliceosomal pre-mRNA splicing","BP"
"11670","GO:0071031","nuclear mRNA surveillance of mRNA 3'-end processing","BP"
"11671","GO:0071033","nuclear retention of pre-mRNA at the site of transcription","BP"
"11672","GO:0071034","CUT catabolic process","BP"
"11673","GO:0071035","nuclear polyadenylation-dependent rRNA catabolic process","BP"
"11674","GO:0071036","nuclear polyadenylation-dependent snoRNA catabolic process","BP"
"11675","GO:0071037","nuclear polyadenylation-dependent snRNA catabolic process","BP"
"11676","GO:0071038","nuclear polyadenylation-dependent tRNA catabolic process","BP"
"11677","GO:0071039","nuclear polyadenylation-dependent CUT catabolic process","BP"
"11678","GO:0071040","nuclear polyadenylation-dependent antisense transcript catabolic process","BP"
"11679","GO:0071042","nuclear polyadenylation-dependent mRNA catabolic process","BP"
"11680","GO:0071044","histone mRNA catabolic process","BP"
"11681","GO:0071046","nuclear polyadenylation-dependent ncRNA catabolic process","BP"
"11682","GO:0071047","polyadenylation-dependent mRNA catabolic process","BP"
"11683","GO:0071048","nuclear retention of unspliced pre-mRNA at the site of transcription","BP"
"11684","GO:0071049","nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription","BP"
"11685","GO:0071050","snoRNA polyadenylation","BP"
"11686","GO:0071051","polyadenylation-dependent snoRNA 3'-end processing","BP"
"11687","GO:0071072","negative regulation of phospholipid biosynthetic process","BP"
"11688","GO:0071073","positive regulation of phospholipid biosynthetic process","BP"
"11689","GO:0071074","eukaryotic initiation factor eIF2 binding","MF"
"11690","GO:0071076","RNA 3' uridylation","BP"
"11691","GO:0071108","protein K48-linked deubiquitination","BP"
"11692","GO:0071109","superior temporal gyrus development","BP"
"11693","GO:0071110","histone biotinylation","BP"
"11694","GO:0071111","cyclic-guanylate-specific phosphodiesterase activity","MF"
"11695","GO:0071139","resolution of recombination intermediates","BP"
"11696","GO:0071140","resolution of mitotic recombination intermediates","BP"
"11697","GO:0071141","SMAD protein complex","CC"
"11698","GO:0071144","heteromeric SMAD protein complex","CC"
"11699","GO:0071157","negative regulation of cell cycle arrest","BP"
"11700","GO:0071158","positive regulation of cell cycle arrest","BP"
"11701","GO:0071162","CMG complex","CC"
"11702","GO:0071163","DNA replication preinitiation complex assembly","BP"
"11703","GO:0071164","RNA trimethylguanosine synthase activity","MF"
"11704","GO:0071166","ribonucleoprotein complex localization","BP"
"11705","GO:0071168","protein localization to chromatin","BP"
"11706","GO:0071169","establishment of protein localization to chromatin","BP"
"11707","GO:0071171","site-specific DNA replication termination at RTS1 barrier","BP"
"11708","GO:0071203","WASH complex","CC"
"11709","GO:0071204","histone pre-mRNA 3'end processing complex","CC"
"11710","GO:0071205","protein localization to juxtaparanode region of axon","BP"
"11711","GO:0071207","histone pre-mRNA stem-loop binding","MF"
"11712","GO:0071208","histone pre-mRNA DCP binding","MF"
"11713","GO:0071211","protein targeting to vacuole involved in autophagy","BP"
"11714","GO:0071215","cellular response to abscisic acid stimulus","BP"
"11715","GO:0071218","cellular response to misfolded protein","BP"
"11716","GO:0071219","cellular response to molecule of bacterial origin","BP"
"11717","GO:0071222","cellular response to lipopolysaccharide","BP"
"11718","GO:0071224","cellular response to peptidoglycan","BP"
"11719","GO:0071225","cellular response to muramyl dipeptide","BP"
"11720","GO:0071230","cellular response to amino acid stimulus","BP"
"11721","GO:0071233","cellular response to leucine","BP"
"11722","GO:0071236","cellular response to antibiotic","BP"
"11723","GO:0071241","cellular response to inorganic substance","BP"
"11724","GO:0071242","cellular response to ammonium ion","BP"
"11725","GO:0071243","cellular response to arsenic-containing substance","BP"
"11726","GO:0071244","cellular response to carbon dioxide","BP"
"11727","GO:0071249","cellular response to nitrate","BP"
"11728","GO:0071250","cellular response to nitrite","BP"
"11729","GO:0071257","cellular response to electrical stimulus","BP"
"11730","GO:0071260","cellular response to mechanical stimulus","BP"
"11731","GO:0071264","positive regulation of translational initiation in response to starvation","BP"
"11732","GO:0071266","'de novo' L-methionine biosynthetic process","BP"
"11733","GO:0071267","L-methionine salvage","BP"
"11734","GO:0071276","cellular response to cadmium ion","BP"
"11735","GO:0071277","cellular response to calcium ion","BP"
"11736","GO:0071280","cellular response to copper ion","BP"
"11737","GO:0071284","cellular response to lead ion","BP"
"11738","GO:0071285","cellular response to lithium ion","BP"
"11739","GO:0071286","cellular response to magnesium ion","BP"
"11740","GO:0071287","cellular response to manganese ion","BP"
"11741","GO:0071288","cellular response to mercury ion","BP"
"11742","GO:0071294","cellular response to zinc ion","BP"
"11743","GO:0071295","cellular response to vitamin","BP"
"11744","GO:0071299","cellular response to vitamin A","BP"
"11745","GO:0071300","cellular response to retinoic acid","BP"
"11746","GO:0071303","cellular response to vitamin B3","BP"
"11747","GO:0071305","cellular response to vitamin D","BP"
"11748","GO:0071307","cellular response to vitamin K","BP"
"11749","GO:0071310","cellular response to organic substance","BP"
"11750","GO:0071311","cellular response to acetate","BP"
"11751","GO:0071313","cellular response to caffeine","BP"
"11752","GO:0071318","cellular response to ATP","BP"
"11753","GO:0071320","cellular response to cAMP","BP"
"11754","GO:0071321","cellular response to cGMP","BP"
"11755","GO:0071322","cellular response to carbohydrate stimulus","BP"
"11756","GO:0071323","cellular response to chitin","BP"
"11757","GO:0071329","cellular response to sucrose stimulus","BP"
"11758","GO:0071332","cellular response to fructose stimulus","BP"
"11759","GO:0071333","cellular response to glucose stimulus","BP"
"11760","GO:0071336","regulation of hair follicle cell proliferation","BP"
"11761","GO:0071339","MLL1 complex","CC"
"11762","GO:0071340","skeletal muscle acetylcholine-gated channel clustering","BP"
"11763","GO:0071341","medial cortical node","CC"
"11764","GO:0071345","cellular response to cytokine stimulus","BP"
"11765","GO:0071346","cellular response to interferon-gamma","BP"
"11766","GO:0071347","cellular response to interleukin-1","BP"
"11767","GO:0071348","cellular response to interleukin-11","BP"
"11768","GO:0071353","cellular response to interleukin-4","BP"
"11769","GO:0071354","cellular response to interleukin-6","BP"
"11770","GO:0071356","cellular response to tumor necrosis factor","BP"
"11771","GO:0071357","cellular response to type I interferon","BP"
"11772","GO:0071359","cellular response to dsRNA","BP"
"11773","GO:0071360","cellular response to exogenous dsRNA","BP"
"11774","GO:0071361","cellular response to ethanol","BP"
"11775","GO:0071363","cellular response to growth factor stimulus","BP"
"11776","GO:0071364","cellular response to epidermal growth factor stimulus","BP"
"11777","GO:0071369","cellular response to ethylene stimulus","BP"
"11778","GO:0071370","cellular response to gibberellin stimulus","BP"
"11779","GO:0071372","cellular response to follicle-stimulating hormone stimulus","BP"
"11780","GO:0071374","cellular response to parathyroid hormone stimulus","BP"
"11781","GO:0071375","cellular response to peptide hormone stimulus","BP"
"11782","GO:0071377","cellular response to glucagon stimulus","BP"
"11783","GO:0071380","cellular response to prostaglandin E stimulus","BP"
"11784","GO:0071383","cellular response to steroid hormone stimulus","BP"
"11785","GO:0071385","cellular response to glucocorticoid stimulus","BP"
"11786","GO:0071386","cellular response to corticosterone stimulus","BP"
"11787","GO:0071392","cellular response to estradiol stimulus","BP"
"11788","GO:0071393","cellular response to progesterone stimulus","BP"
"11789","GO:0071394","cellular response to testosterone stimulus","BP"
"11790","GO:0071395","cellular response to jasmonic acid stimulus","BP"
"11791","GO:0071396","cellular response to lipid","BP"
"11792","GO:0071397","cellular response to cholesterol","BP"
"11793","GO:0071398","cellular response to fatty acid","BP"
"11794","GO:0071400","cellular response to oleic acid","BP"
"11795","GO:0071404","cellular response to low-density lipoprotein particle stimulus","BP"
"11796","GO:0071407","cellular response to organic cyclic compound","BP"
"11797","GO:0071409","cellular response to cycloheximide","BP"
"11798","GO:0071412","cellular response to genistein","BP"
"11799","GO:0071415","cellular response to purine-containing compound","BP"
"11800","GO:0071417","cellular response to organonitrogen compound","BP"
"11801","GO:0071420","cellular response to histamine","BP"
"11802","GO:0071421","manganese ion transmembrane transport","BP"
"11803","GO:0071422","succinate transmembrane transport","BP"
"11804","GO:0071423","malate transmembrane transport","BP"
"11805","GO:0071424","rRNA (cytosine-N4-)-methyltransferase activity","MF"
"11806","GO:0071425","hematopoietic stem cell proliferation","BP"
"11807","GO:0071432","peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion","BP"
"11808","GO:0071439","clathrin complex","CC"
"11809","GO:0071440","regulation of histone H3-K14 acetylation","BP"
"11810","GO:0071441","negative regulation of histone H3-K14 acetylation","BP"
"11811","GO:0071444","cellular response to pheromone","BP"
"11812","GO:0071446","cellular response to salicylic acid stimulus","BP"
"11813","GO:0071447","cellular response to hydroperoxide","BP"
"11814","GO:0071451","cellular response to superoxide","BP"
"11815","GO:0071453","cellular response to oxygen levels","BP"
"11816","GO:0071454","cellular response to anoxia","BP"
"11817","GO:0071455","cellular response to hyperoxia","BP"
"11818","GO:0071456","cellular response to hypoxia","BP"
"11819","GO:0071458","integral component of cytoplasmic side of endoplasmic reticulum membrane","CC"
"11820","GO:0071459","protein localization to chromosome, centromeric region","BP"
"11821","GO:0071460","cellular response to cell-matrix adhesion","BP"
"11822","GO:0071461","cellular response to redox state","BP"
"11823","GO:0071466","cellular response to xenobiotic stimulus","BP"
"11824","GO:0071467","cellular response to pH","BP"
"11825","GO:0071468","cellular response to acidic pH","BP"
"11826","GO:0071469","cellular response to alkaline pH","BP"
"11827","GO:0071470","cellular response to osmotic stress","BP"
"11828","GO:0071472","cellular response to salt stress","BP"
"11829","GO:0071474","cellular hyperosmotic response","BP"
"11830","GO:0071475","cellular hyperosmotic salinity response","BP"
"11831","GO:0071476","cellular hypotonic response","BP"
"11832","GO:0071477","cellular hypotonic salinity response","BP"
"11833","GO:0071479","cellular response to ionizing radiation","BP"
"11834","GO:0071480","cellular response to gamma radiation","BP"
"11835","GO:0071481","cellular response to X-ray","BP"
"11836","GO:0071482","cellular response to light stimulus","BP"
"11837","GO:0071485","cellular response to absence of light","BP"
"11838","GO:0071492","cellular response to UV-A","BP"
"11839","GO:0071493","cellular response to UV-B","BP"
"11840","GO:0071494","cellular response to UV-C","BP"
"11841","GO:0071498","cellular response to fluid shear stress","BP"
"11842","GO:0071500","cellular response to nitrosative stress","BP"
"11843","GO:0071502","cellular response to temperature stimulus","BP"
"11844","GO:0071513","phosphopantothenoylcysteine decarboxylase complex","CC"
"11845","GO:0071526","semaphorin-plexin signaling pathway","BP"
"11846","GO:0071528","tRNA re-export from nucleus","BP"
"11847","GO:0071532","ankyrin repeat binding","MF"
"11848","GO:0071539","protein localization to centrosome","BP"
"11849","GO:0071540","eukaryotic translation initiation factor 3 complex, eIF3e","CC"
"11850","GO:0071541","eukaryotic translation initiation factor 3 complex, eIF3m","CC"
"11851","GO:0071542","dopaminergic neuron differentiation","BP"
"11852","GO:0071543","diphosphoinositol polyphosphate metabolic process","BP"
"11853","GO:0071544","diphosphoinositol polyphosphate catabolic process","BP"
"11854","GO:0071545","inositol phosphate catabolic process","BP"
"11855","GO:0071546","pi-body","CC"
"11856","GO:0071547","piP-body","CC"
"11857","GO:0071548","response to dexamethasone","BP"
"11858","GO:0071549","cellular response to dexamethasone stimulus","BP"
"11859","GO:0071550","death-inducing signaling complex assembly","BP"
"11860","GO:0071555","cell wall organization","BP"
"11861","GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane","CC"
"11862","GO:0071557","histone H3-K27 demethylation","BP"
"11863","GO:0071558","histone demethylase activity (H3-K27 specific)","MF"
"11864","GO:0071559","response to transforming growth factor beta","BP"
"11865","GO:0071560","cellular response to transforming growth factor beta stimulus","BP"
"11866","GO:0071561","nucleus-vacuole junction","CC"
"11867","GO:0071562","nucleus-vacuole junction assembly","BP"
"11868","GO:0071563","Myo2p-Vac17p-Vac8p transport complex","CC"
"11869","GO:0071564","npBAF complex","CC"
"11870","GO:0071565","nBAF complex","CC"
"11871","GO:0071566","UFM1 activating enzyme activity","MF"
"11872","GO:0071567","UFM1 hydrolase activity","MF"
"11873","GO:0071568","UFM1 transferase activity","MF"
"11874","GO:0071569","protein ufmylation","BP"
"11875","GO:0071574","protein localization to medial cortex","BP"
"11876","GO:0071575","integral component of external side of plasma membrane","CC"
"11877","GO:0071577","zinc ion transmembrane transport","BP"
"11878","GO:0071578","zinc ion import across plasma membrane","BP"
"11879","GO:0071586","CAAX-box protein processing","BP"
"11880","GO:0071588","hydrogen peroxide mediated signaling pathway","BP"
"11881","GO:0071590","nicotinamide riboside biosynthetic process","BP"
"11882","GO:0071592","nicotinic acid riboside biosynthetic process","BP"
"11883","GO:0071596","ubiquitin-dependent protein catabolic process via the N-end rule pathway","BP"
"11884","GO:0071598","neuronal ribonucleoprotein granule","CC"
"11885","GO:0071602","phytosphingosine biosynthetic process","BP"
"11886","GO:0071604","transforming growth factor beta production","BP"
"11887","GO:0071617","lysophospholipid acyltransferase activity","MF"
"11888","GO:0071618","lysophosphatidylethanolamine acyltransferase activity","MF"
"11889","GO:0071619","phosphorylation of RNA polymerase II C-terminal domain serine 2 residues","BP"
"11890","GO:0071621","granulocyte chemotaxis","BP"
"11891","GO:0071622","regulation of granulocyte chemotaxis","BP"
"11892","GO:0071627","integral component of fungal-type vacuolar membrane","CC"
"11893","GO:0071629","cytoplasm protein quality control by the ubiquitin-proteasome system","BP"
"11894","GO:0071630","nuclear protein quality control by the ubiquitin-proteasome system","BP"
"11895","GO:0071632","optomotor response","BP"
"11896","GO:0071633","dihydroceramidase activity","MF"
"11897","GO:0071636","positive regulation of transforming growth factor beta production","BP"
"11898","GO:0071638","negative regulation of monocyte chemotactic protein-1 production","BP"
"11899","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","BP"
"11900","GO:0071642","positive regulation of macrophage inflammatory protein 1 alpha production","BP"
"11901","GO:0071651","positive regulation of chemokine (C-C motif) ligand 5 production","BP"
"11902","GO:0071666","Slit-Robo signaling complex","CC"
"11903","GO:0071669","plant-type cell wall organization or biogenesis","BP"
"11904","GO:0071679","commissural neuron axon guidance","BP"
"11905","GO:0071683","sensory dendrite","CC"
"11906","GO:0071688","striated muscle myosin thick filament assembly","BP"
"11907","GO:0071699","olfactory placode morphogenesis","BP"
"11908","GO:0071702","organic substance transport","BP"
"11909","GO:0071704","organic substance metabolic process","BP"
"11910","GO:0071705","nitrogen compound transport","BP"
"11911","GO:0071707","immunoglobulin heavy chain V-D-J recombination","BP"
"11912","GO:0071709","membrane assembly","BP"
